"name","box_office","budget","profit"
"Avengers: Endgame","2799439100","356000000","2443439100"
"Avengers: Infinity War","2052415039","321000000","1731415039"
"Spider-Man: No Way Home","1921847111","200000000","1721847111"
"Top Gun: Maverick","1488732821","170000000","1318732821"
"Harry Potter and the Deathly Hallows: Part 2","1342359942","125000000","1217359942"
"The Lord of the Rings: The Return of the King","1146457748","94000000","1052457748"
"Jurassic Park","1109802321","63000000","1046802321"
"Joker","1074458282","55000000","1019458282"
"The Lion King","968511805","45000000","923511805"
"Toy Story 3","1067316101","200000000","867316101"
